Blocks,Insertion,Selection
100,0,0
200,0,0
300,0,0
400,0,0
500,0.001,0
600,0,0
700,0,0
800,0.001,0
900,0.001,0
1000,0,0.001
1100,0.001,0
1200,0.001,0.001
1300,0.001,0.001
1400,0.001,0.001
1500,0.001,0.001
1600,0.001,0.002
1700,0.001,0.002
1800,0.001,0.002
1900,0.001,0.003
2000,0.001,0.003
2100,0.002,0.003
2200,0.002,0.002
2300,0.002,0.003
2400,0.001,0.003
2500,0.004,0.002
2600,0.002,0.004
2700,0.003,0.004
2800,0.003,0.003
2900,0.004,0.004
3000,0.003,0.004
3100,0.003,0.005
3200,0.005,0.004
3300,0.005,0.005
3400,0.005,0.005
3500,0.004,0.007
3600,0.005,0.006
3700,0.006,0.006
3800,0.005,0.008
3900,0.006,0.008
4000,0.005,0.008
4100,0.005,0.009
4200,0.008,0.007
4300,0.007,0.009
4400,0.008,0.009
4500,0.007,0.012
4600,0.008,0.009
4700,0.009,0.01
4800,0.008,0.01
4900,0.01,0.011
5000,0.01,0.011
5100,0.01,0.012
5200,0.011,0.013
5300,0.011,0.012
5400,0.011,0.013
5500,0.012,0.014
5600,0.013,0.013
5700,0.014,0.014
5800,0.014,0.015
5900,0.015,0.016
6000,0.014,0.018
6100,0.015,0.018
6200,0.014,0.018
6300,0.015,0.018
6400,0.016,0.019
6500,0.016,0.019
6600,0.017,0.019
6700,0.017,0.02
6800,0.018,0.022
6900,0.019,0.022
7000,0.019,0.024
7100,0.019,0.022
7200,0.021,0.024
7300,0.021,0.024
7400,0.022,0.024
7500,0.022,0.026
7600,0.022,0.026
7700,0.023,0.027
7800,0.025,0.027
7900,0.025,0.03
8000,0.025,0.028
8100,0.025,0.03
8200,0.024,0.031
8300,0.027,0.031
8400,0.027,0.032
8500,0.03,0.032
8600,0.029,0.033
8700,0.028,0.035
8800,0.03,0.035
8900,0.031,0.037
9000,0.033,0.04
9100,0.034,0.04
9200,0.035,0.049
9300,0.038,0.042
9400,0.035,0.052
9500,0.05,0.046
9600,0.047,0.066
9700,0.041,0.046
9800,0.04,0.054
9900,0.041,0.05
