Blocks, time
100,0
200,0
300,0
400,0
500,0
600,0
700,0
800,0
900,0
1000,0.001
1100,0
1200,0.001
1300,0.001
1400,0.001
1500,0.001
1600,0.002
1700,0.002
1800,0.002
1900,0.003
2000,0.003
2100,0.003
2200,0.002
2300,0.003
2400,0.003
2500,0.002
2600,0.004
2700,0.004
2800,0.003
2900,0.004
3000,0.004
3100,0.005
3200,0.004
3300,0.005
3400,0.005
3500,0.007
3600,0.006
3700,0.006
3800,0.008
3900,0.008
4000,0.008
4100,0.009
4200,0.007
4300,0.009
4400,0.009
4500,0.012
4600,0.009
4700,0.01
4800,0.01
4900,0.011
5000,0.011
5100,0.012
5200,0.013
5300,0.012
5400,0.013
5500,0.014
5600,0.013
5700,0.014
5800,0.015
5900,0.016
6000,0.018
6100,0.018
6200,0.018
6300,0.018
6400,0.019
6500,0.019
6600,0.019
6700,0.02
6800,0.022
6900,0.022
7000,0.024
7100,0.022
7200,0.024
7300,0.024
7400,0.024
7500,0.026
7600,0.026
7700,0.027
7800,0.027
7900,0.03
8000,0.028
8100,0.03
8200,0.031
8300,0.031
8400,0.032
8500,0.032
8600,0.033
8700,0.035
8800,0.035
8900,0.037
9000,0.04
9100,0.04
9200,0.049
9300,0.042
9400,0.052
9500,0.046
9600,0.066
9700,0.046
9800,0.054
9900,0.05
10000,0.067
10100,0.046
10200,0.048
10300,0.049
10400,0.053
10500,0.051
10600,0.054
10700,0.055
10800,0.053
10900,0.053
11000,0.054
11100,0.055
11200,0.056
11300,0.059
11400,0.059
11500,0.062
11600,0.061
11700,0.06
11800,0.063
11900,0.068
12000,0.067
12100,0.066
12200,0.066
12300,0.069
12400,0.07
12500,0.072
12600,0.072
12700,0.072
12800,0.077
12900,0.076
13000,0.08
13100,0.078
13200,0.08
13300,0.079
13400,0.08
13500,0.082
13600,0.083
13700,0.085
13800,0.087
13900,0.086
14000,0.09
14100,0.088
14200,0.093
14300,0.095
14400,0.093
14500,0.097
14600,0.1
14700,0.1
14800,0.098
14900,0.098
15000,0.104
15100,0.101
15200,0.105
15300,0.104
15400,0.109
15500,0.106
15600,0.112
15700,0.115
