Blocks, Selection,Selection Passes,Insertion ,Insertion Passes
1000,0,5548,0.001,257917
2000,0.003,12391,0.003,985904
3000,0.013,19786,0.01,2256201
4000,0.015,27472,0.01,3987238
5000,0.019,34552,0.022,6225149
6000,0.028,42904,0.024,9034650
7000,0.037,52137,0.032,12297813
8000,0.067,61370,0.046,16079903
9000,0.075,71268,0.054,20275559
10000,0.09,76434,0.066,25132325
11000,0.099,86928,0.08,30315578
12000,0.113,96729,0.096,36121688
13000,0.136,104668,0.111,42379713
14000,0.172,113060,0.15,49086352
15000,0.197,123500,0.15,56353061
16000,0.197,132086,0.17,64078524
17000,0.236,141099,0.207,72382425
18000,0.285,149730,0.233,81239237
19000,0.281,159458,0.252,90472542
20000,0.331,166163,0.278,100111463
21000,0.369,177719,0.346,110706582
22000,0.393,186392,0.337,121716656
23000,0.461,198379,0.393,132772207
24000,0.457,209917,0.387,144269255
25000,0.398,217659,0.343,156340352
26000,0.42,227934,0.37,169108502
27000,0.459,236435,0.392,182533645
28000,0.454,244396,0.423,196509388
29000,0.482,256709,0.442,210695176
30000,0.518,266201,0.479,225048062
31000,0.551,274711,0.513,240228768
32000,0.585,284006,0.548,256146204
33000,0.628,299099,0.587,272195323
34000,0.678,305382,0.624,288875667
35000,0.689,314450,0.661,306137734
36000,0.739,329748,0.702,324236037
37000,0.793,336106,0.734,343091727
38000,0.863,346086,0.806,362434124
39000,0.879,360455,0.837,381805080
40000,0.918,366830,0.86,402111811
41000,0.964,381204,0.897,422556886
42000,1.006,387064,0.97,443115023
43000,1.046,397456,1.005,464924548
44000,1.105,409895,1.041,487087035
45000,1.155,421143,1.098,509023366
46000,1.197,427871,1.159,532051007
47000,1.3,443840,1.217,555864260
48000,1.303,453031,1.254,580043061
49000,1.382,462438,1.308,603538337
50000,1.432,470261,1.382,628047953
51000,1.475,476284,1.397,653355089
52000,1.546,494182,1.474,679345683
53000,1.591,502340,1.537,705895847
54000,1.665,511396,1.613,732184375
55000,1.72,521468,1.668,759313396
56000,1.78,525456,1.74,787832847
57000,1.847,544956,1.783,816948083
58000,1.931,558310,1.861,845975123
59000,1.997,562566,1.918,875598348
60000,2.048,574862,2.003,906135059
61000,2.105,587277,2.031,936086179
62000,2.179,595911,2.12,965889989
63000,2.273,606398,2.174,996753954
64000,2.33,622852,2.267,1027756890
65000,2.406,626729,2.358,1059623838
66000,2.502,635604,2.403,1092446482
67000,2.675,648477,2.484,1124639143
68000,2.628,659876,2.569,1158514122
69000,2.7,669722,2.604,1192369291
70000,2.788,682244,2.694,1227635133
71000,2.867,697470,2.785,1263578848
72000,2.957,704289,2.886,1299937472
73000,3.018,708707,2.945,1336436083
74000,3.097,718981,2.995,1374221360
75000,3.189,736534,3.086,1411233388
76000,3.274,751903,3.165,1449512565
77000,3.38,763486,3.268,1487684934
78000,3.473,774230,3.366,1526143075
79000,3.818,786474,3.492,1565422100
80000,3.62,792636,3.552,1605321948
81000,3.741,810940,3.664,1646382655
82000,3.833,812529,3.701,1687661926
83000,3.909,818643,3.829,1728101060
84000,4.004,830273,3.916,1770842408
85000,4.128,845866,4.022,1813337887
86000,4.204,855426,4.134,1855805315
87000,4.297,867383,4.185,1898955460
88000,4.405,877712,4.286,1943269113
89000,4.786,886060,4.576,1987047036
90000,4.566,898868,4.463,2030338163
91000,4.706,914158,4.591,2076748687
92000,4.817,917215,4.679,2122575622
93000,4.892,925262,4.793,-2124896667
94000,5.022,945267,4.893,-2078504082
95000,5.127,961377,5.004,-2030344155
96000,5.213,962068,5.053,-1983461579
97000,5.403,976812,5.173,-1935720378
98000,5.467,993689,5.339,-1888002290
99000,6.125,992072,5.442,-1837763479
100000,5.787,999441,5.525,-1787095290
