Blocks,Mergesort,Quicksort
1000, 0.000000, 0.000000
2000, 0.000000, 0.000000
3000, 0.001000, 0.000000
4000, 0.001000, 0.000000
5000, 0.001000, 0.000000
6000, 0.001000, 0.000000
7000, 0.000000, 0.000000
8000, 0.001000, 0.000000
9000, 0.001000, 0.002000
10000, 0.001000, 0.001000
11000, 0.001000, 0.001000
12000, 0.001000, 0.001000
13000, 0.002000, 0.001000
14000, 0.002000, 0.001000
15000, 0.002000, 0.001000
16000, 0.001000, 0.001000
17000, 0.002000, 0.001000
18000, 0.002000, 0.001000
19000, 0.001000, 0.002000
20000, 0.002000, 0.001000
21000, 0.002000, 0.001000
22000, 0.003000, 0.001000
23000, 0.003000, 0.001000
24000, 0.002000, 0.002000
25000, 0.004000, 0.001000
26000, 0.003000, 0.002000
27000, 0.003000, 0.002000
28000, 0.003000, 0.002000
29000, 0.003000, 0.002000
30000, 0.003000, 0.003000
31000, 0.004000, 0.002000
32000, 0.004000, 0.002000
33000, 0.004000, 0.002000
34000, 0.003000, 0.003000
35000, 0.003000, 0.003000
36000, 0.004000, 0.003000
37000, 0.003000, 0.004000
38000, 0.005000, 0.003000
39000, 0.005000, 0.003000
40000, 0.005000, 0.003000
41000, 0.004000, 0.004000
42000, 0.005000, 0.003000
43000, 0.005000, 0.003000
44000, 0.005000, 0.004000
45000, 0.005000, 0.004000
46000, 0.004000, 0.005000
47000, 0.005000, 0.004000
48000, 0.006000, 0.003000
49000, 0.006000, 0.004000
50000, 0.005000, 0.005000
51000, 0.006000, 0.004000
52000, 0.006000, 0.005000
53000, 0.006000, 0.005000
54000, 0.007000, 0.004000
55000, 0.007000, 0.004000
56000, 0.006000, 0.005000
57000, 0.007000, 0.005000
58000, 0.006000, 0.006000
59000, 0.008000, 0.005000
60000, 0.006000, 0.006000
61000, 0.007000, 0.005000
62000, 0.007000, 0.005000
63000, 0.007000, 0.004000
64000, 0.007000, 0.006000
65000, 0.008000, 0.006000
66000, 0.008000, 0.005000
67000, 0.007000, 0.006000
68000, 0.008000, 0.005000
69000, 0.008000, 0.006000
70000, 0.008000, 0.006000
71000, 0.008000, 0.006000
72000, 0.008000, 0.006000
73000, 0.008000, 0.007000
74000, 0.008000, 0.007000
75000, 0.009000, 0.006000
76000, 0.008000, 0.007000
77000, 0.009000, 0.006000
78000, 0.008000, 0.007000
79000, 0.009000, 0.007000
80000, 0.010000, 0.006000
81000, 0.009000, 0.007000
82000, 0.010000, 0.007000
83000, 0.010000, 0.007000
84000, 0.011000, 0.007000
85000, 0.010000, 0.007000
86000, 0.010000, 0.008000
87000, 0.011000, 0.007000
88000, 0.011000, 0.008000
89000, 0.011000, 0.008000
90000, 0.011000, 0.008000
91000, 0.011000, 0.009000
92000, 0.011000, 0.009000
93000, 0.012000, 0.008000
94000, 0.012000, 0.008000
95000, 0.013000, 0.008000
96000, 0.012000, 0.009000
97000, 0.011000, 0.008000
98000, 0.012000, 0.009000
99000, 0.013000, 0.009000
100000, 0.014000, 0.008000
